OG Week,Popularity,Week
2020-01-05,17,01-05
2020-01-12,13,01-12
2020-01-19,12,01-19
2020-01-26,8,01-26
2020-02-02,7,02-02
2020-02-09,7,02-09
2020-02-16,7,02-16
2020-02-23,6,02-23
2020-03-01,7,03-01
2020-03-08,5,03-08
2020-03-15,9,03-15
2020-03-22,95,03-22
2020-03-29,61,03-29
2020-04-05,34,04-05
2020-04-12,16,04-12
2020-04-19,14,04-19
2020-04-26,13,04-26
2020-05-03,9,05-03
2020-05-10,7,05-10
2020-05-17,6,05-17
2020-05-24,4,05-24
2020-05-31,4,05-31
2020-06-07,3,06-07
2020-06-14,2,06-14
2020-06-21,3,06-21
2020-06-28,3,06-28
2020-07-05,3,07-05
2020-07-12,2,07-12
2020-07-19,3,07-19
2020-07-26,2,07-26
2020-08-02,2,08-02
2020-08-09,1,08-09
2020-08-16,3,08-16
2020-08-23,3,08-23
2020-08-30,3,08-30
2020-09-06,4,09-06
2020-09-13,5,09-13
2020-09-20,2,09-20
2020-09-27,3,09-27
2020-10-04,4,10-04
2020-10-11,16,10-11
2020-10-18,21,10-18
2020-10-25,27,10-25
2020-11-01,43,11-01
2020-11-08,94,11-08
2020-11-15,100,11-15
2020-11-22,27,11-22
2020-11-29,15,11-29
2020-12-06,14,12-06
2020-12-13,11,12-13
2020-12-20,11,12-20
2020-12-27,11,12-27
