Date,PM2.5,Cigarettes
10/23,186,8.454545455
10/24,138,6.272727273
10/25,110,5
10/26,196,8.909090909
10/27,172,7.818181818
10/28,132,6
10/29,130,5.909090909
10/30,171,7.772727273
10/31,258,11.72727273
11/1,186,8.454545455
11/2,213,9.681818182
11/3,221,10.04545455
11/4,233,10.59090909
11/5,206,9.363636364
11/6,216,9.818181818
11/7,234,10.63636364
11/8,209,9.5
11/9,197,8.954545455
11/10,185,8.409090909
11/11,197,8.954545455
11/12,282,12.81818182
11/13,321,14.59090909
11/14,282,12.81818182
11/15,327,14.86363636
11/16,322,14.63636364
11/17,454,20.63636364
11/18,594,27
11/19,296,13.45454545
11/20,234,10.63636364
