Date,AQI
10/01/2024,22
10/02/2024,31
10/03/2024,40
10/04/2024,40
10/05/2024,42
10/06/2024,52
10/07/2024,52
10/08/2024,39
10/09/2024,42
10/10/2024,25
10/11/2024,31
10/12/2024,53
10/13/2024,52
10/14/2024,33
10/15/2024,27
10/16/2024,28
10/17/2024,33
10/18/2024,37
10/19/2024,53
10/20/2024,57
10/21/2024,58
10/22/2024,55
10/23/2024,56
10/24/2024,36
10/25/2024,33
10/26/2024,40
10/27/2024,34
10/28/2024,50
10/29/2024,44
10/30/2024,54
10/31/2024,49
11/01/2024,36
11/02/2024,34
11/03/2024,48
11/04/2024,44
11/05/2024,41
11/06/2024,46
11/07/2024,48
11/08/2024,39
11/09/2024,31
11/10/2024,54
11/11/2024,31
11/12/2024,27
11/13/2024,27
11/14/2024,41
11/15/2024,33
11/16/2024,34
11/17/2024,38
11/18/2024,57
11/19/2024,53
