Date,AQI
10/1/24,151
10/2/24,174
10/3/24,162
10/4/24,183
10/5/24,145
10/6/24,143
10/7/24,126
10/8/24,167
10/9/24,164
10/10/24,132
10/11/24,141
10/12/24,155
10/13/24,224
10/14/24,234
10/15/24,198
10/16/24,230
10/17/24,285
10/18/24,292
10/19/24,278
10/20/24,277
10/21/24,310
10/22/24,327
10/23/24,364
10/24/24,306
10/25/24,270
10/26/24,255
10/27/24,356
10/28/24,304
10/29/24,268
10/30/24,307
10/31/24,328
11/1/24,339
11/2/24,316
11/3/24,382
11/4/24,381
11/5/24,373
11/6/24,352
11/7/24,377
11/8/24,380
11/9/24,352
11/10/24,334
11/11/24,352
11/12/24,334
11/13/24,418
11/14/24,424
11/15/24,396
11/16/24,417
11/17/24,441
11/18/24,494
11/19/24,460
