club_name,latitude,longitude,website,Comments
No more lonely runs,40.76805834,-73.98189999,https://www.instagram.com/nomorelonelyruns_,"Wednesday evening, Saturday 8am"
No more lonely runs,40.74869296,-74.00998734,https://www.instagram.com/nomorelonelyruns_,"Wednesday evening, Saturday 8am"
Brooklyn track club,40.72001218,-73.95165987,https://www.brooklyntrackclub.org/,"THis one looks intimidating BUT very appealing. Paid membership, they do track workouts and long runs."
Brooklyn track club,40.72189538,-73.97358426,https://www.brooklyntrackclub.org/,"THis one looks intimidating BUT very appealing. Paid membership, they do track workouts and long runs."
Brooklyn track club,40.70306771,-73.99053542,https://www.brooklyntrackclub.org/,"THis one looks intimidating BUT very appealing. Paid membership, they do track workouts and long runs."
Crown heights running club,40.65517458,-73.96206916,https://crownheightsrunningclub.nyc/running/,"MTWTh, Sat. This one looks great. Plus it’s in prospect park!"
Crown heights running club,40.66300395,-73.96245823,https://crownheightsrunningclub.nyc/running/,"MTWTh, Sat. This one looks great. Plus it’s in prospect park!"
Crown heights running club,40.67404105,-73.96986791,https://crownheightsrunningclub.nyc/running/,"MTWTh, Sat. This one looks great. Plus it’s in prospect park!"
Crown heights running club,40.6704399,-73.9581251,https://crownheightsrunningclub.nyc/running/,"MTWTh, Sat. This one looks great. Plus it’s in prospect park!"
Dashing Whippets,40.77393398,-73.97098582,https://www.instagram.com/dashingwhippets/,"Events throughout the week, 90 day free trial"
DeFine running club,40.68985397,-73.97133555,https://www.instagram.com/definenewyorkrunclub/?hl=en,Saturday long run. Starts at Dick & Janes 266 Adelphi Street
Girls run NYC,40.71999968,-73.95118787,https://www.instagram.com/girlsrunnyc/,Wednesdays at McCarren Track
Goldfinger track club,40.68451823,-73.93242156,https://gftcnyc.com/,Thursday community run 570 Hancock Street
Greenpoint runners,40.72840842,-73.95924029,https://www.instagram.com/greenpointrunners/?hl=en,HUGE! Saturday group run
Nike running experiences,40.72058643,-74.00048408,https://www.nike.com/us/en/experiences/events?countryCode=US&categoryCode=Running,Weekly runs to check out
Prospect Park Track Club,40.67378059,-73.97038828,https://pptc.org/group-runs,Every day of the week
North Brooklyn Runners,40.7105656,-73.96115888,https://northbrooklynrunners.org/,McCarren Park
North Brooklyn Runners,40.72122852,-73.95094127,https://northbrooklynrunners.org/,McCarren Park
NYC Sprint Collective,40.7194691,-73.9513348,https://www.instagram.com/nycsprintcollective/,"McCarren Park, looks intense but fun!"
Runners NYC / Adidas Run Club,40.76793735,-73.98197251,https://www.instagram.com/runnersnewyorkcity/,"sign up on the app, Columbus Circle"
Central Park Running Club,40.7752009,-73.9687157,https://www.instagram.com/centralparkrunning?igshid=MTIzZWMxMTBkOA%3D%3D,They have a slack! Meet at central park boathouse
Dirty Bird RC,40.7420105,-74.01053504,https://www.dirtybirdrc.com/,"W, Th, Sat, Little island NYC -> Laughing man cafe"
The November Project,40.7738985,-73.97098922,https://www.instagram.com/novemberprojectnyc/,Bethesda Terrace
The Not So Serious Run Group,40.768238,-73.98161846,https://www.meetup.com/Not-So-Serious-Running-Group-NYC/,"Columbus Circle, fun group!"
Masala Milers,40.67508251,-73.97036682,https://www.instagram.com/masala.milers/,Prospect Park
